S.,Aff. No.,Name of,Organization & address,Contact person/,Email Id/ Website,Project Details,,,,
,,"Jaya Chamaraj Nagar, ",,(O) 0836 – 2232972,,Mahila Swawalamban,,,,
,,Hubli – 580020,,,,Kendra,,,,
2,67,"Keshav Smruti Trust, ",,Sanjay V. Adake –,"svadake@gmail.com,",,,,,
,,"Behind Yeshwant Talkies, ",,"9900268940, ","mesanju_77@rediff.com,",,,,,
,,"K.C. Road, Chikodi - 591201, Dist.",,(O),08338 – 273313,kspckd@gmail.com,No detail,,,
,,Belgaum,,,,,,,,
3,69,"Seva Bharati Trust, Hubli ",,K.Govardhan Rao –,"sevabharatitrust@gmail.com,",,,,,
,PPS,"Seva Sadan, II main Road,",,"09448204771, ","sevabharatihubli@gmail.com ,",,,,,
,,"Banashankari Layout, ",,"(O) 0836 – 2237400,",raghuakmanchi@gmail.com,Matruchhaya &,,,,
,,"Keshavpur, Hubli – 580023 ",,9844019883,,"adoption centre, ",,,,
,,,,,,Hostel boys &,"girls,",,,
,,,,,,School for special,,,,
,,,,,,,72,,,
,,,,,,children,,,,
4,125,The Belgaum District Association,,Chander Shekhar,"bdab_msb@yahoo.co.in,",,,,,
,,"For The Blind, ",,Bembalgi -,"brbhattad@gmail.com, ",,,,,
,,"Plot No.1008, ",,"09844495757, ",www.maheshwariblindschool.com,No detail,,,,
,,"MM. Extn. Kolhapur Cross,",,(O),"0831 – 2471482,",,,,,
,,"Nehru Nagar, Belgaum – 590010 ",,2470709,,,,,,
5,209,"Vishwa Seva Mission, ",,Vishwanath Swamy –,"vswamyglb@gmail.com,",,,,,
,,"Shri Shradha Residency, ",,"9448040789, ","vishwasevamission@yahoo.com, ",SHG,,,,
,,"Opp – Forest Office court Road,",,(O),08472 – 250558,www.vishwasevamission.org,,,,
,,Gulbarga – 585102,,,,,,,,
6,277,"Sanskriti Samsthe, ",,Suresh V -,s.rajguru@gmail.com,,,,,
,,"1-11-53, Sreeramnagar","Colony,","9449765572, ",,,,,,
,,Raichur - 584101,,(O) 9480003249,,No detail,,,,
7,293,"Jana Kalyan Trust, ",,Parameswar Hegde-,"santmeerabgm@gmail.com,",,,,,
,,Sant Meera English Medium,,"9845689241, ",progressivepr@rediffmail.com,,,,,
,,"School Angol Post, ",,(O),"0831 – 2480341,",Sant Meera School,,,,
,,Belgaon - 590008,,2433229,,,,,,
8,294,Kottala Basaweshwara Bharatiya,,Dr. Nagareddy Patil –,hkavsedam@gmail.com,,,,,
,,"Shikshan Samiti,",,"09448204621, ",," CBSC School,2",,,,
,,"Sedam, ",,(O),8441276153,"hostels for boys, high",,,,
,,Dist. Gulbarga - 583 222,,,,"schools, Intermediate",,,,
,,,,,,"College,",Degree,,,
,,,,,,"College,",Law Collage,,,
,,,,,,and hostels,,,,
9,423,Keshava Karya Samvardhan,,Maruti Rao –,"kkssamitibidar@gmail.com,",,,,,
,,"Samiti,",,"08904870025, ",krishnareddy.393@gmail.com,,,,,
,,"Keshava Smruti, ",,"(O) 08482 – 224775, ",,"Gram Vikas, ",,,,
,,"Netaji Nagar, Shaha Gunj, ",,9342287393,,"Gaushala, ",,,,
,,Bidar – 585401,,,,Primary School,,,,
10,424,Saraswati Shikshana Vikas,,Hanumant Rao Patil –,"ssvsbidar@yahoo.com, ",,,,,
,,"Samiti, ",,"09741167670, ",krishnareddy393@gmail.com,,,,,
,,"Vikas Netaji Nagar, Shahagunj, ",,"(O) 08482 – 226009,",,"2 high schools,",,,,
,,,,,,,73,,,
,,Bidar – 585401,,220208,,"1 Inter college,",,,,
11,686,"Netaji Education Trust, ",,RS Patil –,netajibgd@gmail.com,,,,,
,,"Gaudar Street,",,"09880758293/295, ",,,,,,
,,"Basavanabagewadi – 586203,",,(O) 09880758295,,Netaji,Shikshan,,,
,,Bijapur Dist,,,,Sansthe,,,,
12,805,"Jan Vikas Pratisthan, ",,Sri Vinaykulkarni –,vinayk74@rediffmail.com,,,,,
,,"Madhakunj, ",,9880057827,,,,,,
,,"Jayachamaraj Nagar, ",,,,Hostel (10 students),,,,
,,Hubli – 580020,,,,,,,,
13,853,"Akshaya Gou Seva Samithi, ",,"(O) 0836 - 2366901,",dattatrayabhat42@yahoo.in,,,,,
,,"No.11/2, 2nd Cross, ",,9448112901,,,,,,
,,"SDA School Road, Bhavani Road,",,,,"Gau Sewa, allround of",,,,
,,Dharwada - 580023,,,,awraeness about Gau,,,,
,,,,,,Sewa,,,,
,,Karnataka South,,,,,,,,
1,31,"Sri Bharati Seva Samaj Trust,",,Shashikala,-,"mrds2008@yahoo.com, ",,,,
,,Chickaballapur,,"9900870895,",www.mrdscharyulu.com,◆,,,,
,,"371/29, Behind Saint Joseph’s",,"9480088752, ",,No detail,,,,
,,"Convent School, ",,(O) 9900870895,,,,,,
,,Sunnakallu,"Street, ",,,,,,,
,,Chickaballapur – 562101,,,,,,,,
2,37,"Yoga Shikshana Samithi, ",,H.N. Krishnamurti -,hmkudupa@gmail.com,,,,,
,,"110 – Chatrakeri Road,Tirthahalli",,"09449584760, ",,,,,,
,,"– 577432, Shimoga Dist ",,(O) 08181-227090,,No detail,,,,
3,38,Hindu Sewa Pratishthana,,"Suresh - 9482428926, ","hinduseva@gmail.com,",,,,,
,PPS,"Ajita Shree, ",,(O),"080 – 26608926,","sagarhsp@gmail.com,",,,,
,,"8/28, Bull Temple Road,",,26523088,www.hinduseva.org,Aruna Chetana school,,,,
,,Banglore – 560004,,,FCRA,"for special children, -",,,,
,,,,,,"Sewa Kiran School,",,,,
,,,,,,Nele – home for street,,,,
,,,,,,children,6Nos.,,,
4,39,Rashtrothan Parishat,,Dinesh Hegde –,"rashtrotthana@gmail.com,","Blood Bank,",,,,
,,"Keshava Shilpa, K.G.Nagar,",,"9448284600, ",www.rashtrotthana.org,"Sishu Mandir 35,",,,,
,,,,,,"Primary school -13, -",,,,
,,,,,,,74,,,
,,Bangalore – 560019,,(O) 080 – 26612730/,,FCRA,"high schools – 16, Ded",,,
,,,,2731 /2732,,,college,", ",,
,,,,,,,"PU Collage, Music &",,,
,,,,,,,Dance school,,,
5,45,"Seva Sankalpa Vidya Sansthe, ",,Revana Siddappa -,,sevasankalpahps@gmail.com,,,,
,,"H.P.S., Santhepet, ",,"9900222081, ",,,,,,
,,"Arsikere – 573103, ",,(O) 9945916770,,,No detail,,,
,,Hassan Dist,,,,,,,,
6,61,"Abalashrama, ",,B.V. Sesha –,,"abalashrama@yahoo.com,",,,,
,,Bangalore 125 - 6 Dr. D.V.G.,,"09483334329, ",,www.abalashram.org,,,,
,,"Road, Basavangudi, ",,"(O) 080 -26678694, ",,,Hostel for poor &,,,
,,Bangalore – 560004,,9449106410,,,"destitute girls,",Multi,,
,,,,,,,skills development,,,
,,,,,,,"centre,training,tailori",,,
,,,,,,,"ng class,fashion",,,
,,,,,,,"designing,,marraiage",,,
,,,,,,,"facilitation centre,",,,
,,,,,,,Sambandha for newly,,,
,,,,,,,"married couples,job",,,
,,,,,,,placement services,,,
7,62,"Grama Bharathi Trust, Haniya ",,Haniyaravi –,,haniya.ravi2012@gmail.com,,,,
,,"Karnagiri, Post Haniya,",,"09448856903, ",,,,,,
,,Hosanagar,"Tq ,",(O),08185 – 256034,,No detail,,,
,,Shimoga Dist – 577418,,,,,,,,
8,64,Keshava Shishu Mandir,,Sunder Shettigar –,,-,,,,
,,Dr. Hedgewar Janma Shatabdi,,0824 – 2475835,,,,,,
,,,,,,,,,,
,,"Sewa Samithi,",,,,,,,,
,,,,,,,No detail,,,
,,"Vekataramana Colony,",,,,,,,,
,,Thadambail,,,,,,,,
,,Surathkal – 575014,,,,,,,,
9,65,Narendra Foundation,,KV. Rajanna,,narendra_found@rediffmail.com,,,,
,,"Siddapura, Pavagada Tq, Tumkur",,"08136-24772, ",,,,,,
,,Dist – 572141,,(O) 08136 – 24772,,,No detail,,,
,,,,,,,,75,,
10,68,"Kadamba Charitable Foundation, ",Mahabaleshwar Naik-,,,,,,,
,,"Basavaraj Nilaya, ","9916928478, ",,,,,,,
,,"Chowki Math, Sirsi – 581401 ",(O) 08384 – 225248,,,SHG,,,,
11,79,Chinna Bhandara Janakamma,Nagesh Rao –,,14adiga@gmail.com,,,,,
,,Sanjeeva Rao Educational,,,,,,,,
,,"Charitable Public Trust, ","9897032131, ",,,No detail,,,,
,,"Prerana, R.S.S. Karyalaya, Near",(O) 08181 – 256229,,,,,,,
,,"Bhootharayagudi, Kuvempu",,,,,,,,
,,"Road,",,,,,,,,
,,Tirthahalli – 577432,,,,,,,,
12,80,Purushotama Rao Krishi,S. Varada Char –,,"aruna_kpp@yahoo.com,",,,,,
,,Samshodhana Pratisthana,"9982516875, ",,www.savayavakrishipariwar.org,,,,,
,,"Krishi Nivas, ",(O),"08181-228841,",,"Research, Training &",,,,
,,"c/o. Sowrabha, P.O.","228340, 229340 ",,,Publication of organic,,,,
,,,,,,farming,,,,
,,"Doorvasapuram, ",,,,,,,,
,,Thirthahalli – 577432,,,,,,,,
13,81,"Seva Bharathi Trust, Tirthahalli ",Manjunatha Shetty J,,aruna_kpp@yahoo.com,,,,,
,,"‘Prerana’, R.S.S. Karyalaya, Near","– 09448218663, ",,, ,,,,
,,"Bhootharayagudi, Kuvempu",(O) 08181 – 272273,,,Seva Bharati Vidya,,,,
,,"Road, ",,,,Kendra,,,,
,,Tirthahalli – 577432,,,,,,,,
14,82,"Chethana Special School, Karkala ",Mrs. Geeta Pai –,,"chethanaspecialschool@yahoo.in,",,,,,
,,(Bharati Seva Manadali),"08861031757, ",,www.chethanaspecialschool.info,,,,,
,,"S.V.T. School Road, ",(O) 08258-233166,,,School for special,,,,
,,Karkala - 574104,,,,"children, Yoga camp,",,,,
,,,,,,Vocational Training,,,,
,,,,,,"centre , Counselling",,,,
,,,,,,centre,,,,
15,83,"Seva Bharati, Kanyadi ",P Srinivas –,,contact@kanyadysevabharati.org,,,,,
,,"Seva Niketana, ","9844092350, ",,,,,,,
,,"Kanyady II, Dharmasthala ","(O) 08256 – 277080,",,,"Shishu Mandir, SHG ",,,,
,,Post & Vill. D.K. – 574216,277678,,,,,,,
16,84,"Seva Gangothri Trust, ",S. Sajeeva Patil –,,benagal.narayana@yahoo.co.in,,,,,
,,,,,,,76,,,
,,"Seva Dhama, ",,"9844403102, ",,,,,,
,,"Nachiketha Vidya Sansthe, ",,(O),"0820-2572358,",No detail,,,,
,,"Sarale Bettu, ",,2573776,,,,,,
,,Manipal – 576104,,,,,,,,
17,85,Sri Maha Vishnu Seva,"Samithi, ",V Sundar –,-,,,,,
,,"Anaje, Veeramangala, P.O.Sarve, ",,"9880415131, ",,,,,,
,,Puttur Tq – 574202,,(O) 08251-280899,,No detail,,,,
18,86,Bharathi Grama Vikas,,Palappa Poojari –,,◆,,,,
,,"Prathisthan, ",,"09449389713, ",,"Organic Farming,",,,,
,,"Manjunath Nagar Palthady, ",,(O) 08251- 272119,,Vocational training,,,,
,,Puttur – 574210,,,,"camp, School, ",,,,
,,,,,,Water management,,,,
19,88,"Nethaji Yuvaka Sangha Kuppila, ",,Sudhindra Kamath –,-,,,,,
,,"Kuppila, Bantwal, ",,"09845922536, ",,,,,,
,,,,,,,,,,
,,"Modamkavu – 574219, Dakshin",,(O) 9342065925,,,,,,
,,,,,,No detail,,,,
,,Kannada Dist,,,,,,,,
20,91,"Shri Rama Bhajana Mandali, ",,Sudarshan Karanth –,vgbitc@gmail.com,,,,,
,,"Nadthikallu, Moodukody, Venur,",,"9449894613, ",,,,,,
,,Dist – D.K. 574242,,(O),08256 – 286371,No detail,,,,
21,92,Seva Sharadhi,Vishwastha,Shailaja S Bhat –,sevavenur@gmail.com,,,,,
,,"Mandali, ",,"9449103939, ",,,,,,
,,,,,,,,,,
,,"Moorumane, Bajre, ",,"(O) 08256 – 286283,",,,,,,
,,,,,,No detail,,,,
,,"Venur, Belthagandi Tq, ",,286257,,,,,,
,,Dist D.K. – 574242,,,,,,,,
22,94,"Shree Sharada Seva Trust, ",,K. Keshav Bhatt –,-,,,,,
,,"Near Janardhana Swami Temple,",,"9448889032, ",,,,,,
,,"Ujire, ",,(O),08256 - 236324/,No detail,,,,
,,"Taluka – Belthangadi, ",,236339,,,,,,
,,Dist-D.K.574240,,,,,,,,
23,95,"Bharathi Seva Samithi, Karkala, ",,S. Nityanand –,maruthi_hp2003@yahoo.com,,,,,
,,"Sandipani Shishu Mandir, Behind",,"09880100877, ",,,,,,
,,,,,,,77,,,
,,"LIC, Pervaje Road, Karkala – ",,"(O) 08258 – 230677,",,Sandipani Sishu,,,,
,,574104,,232977,,78endra,,,,
24,99,"Probhodhini Trust, ",,Umesh Rao -,"prabodhinigurukula@gmail.com,",,,,,
,,"Chitrakuta,","Hariharapura, Koppa","09448007005, ",http://www.prabodhinigurukula.org,Gurukul,School,,,
,,"Taluk – 577120, Chikmagalur",,(O) 08265 – 274232,,"(Residential) ,",,,,
,,Dist,,,,"Sanskrit Study Centre,",,,,
,,,,,,"Gurukulam, Yoga",,,,
,,,,,,"training camp, Self",,,,
,,,,,,"Help Group,",,,,
,,,,,,Vocational Training,,,,
25,100,Keshavakrupa Samvardhana,,Ganapati Hegde -,rssnataraja@gmail.com,,,,,
,,"Samiti, ",,"9448981819, ",, ,,,,
,,"Keshava Krupa , ",,(O) 080 – 26610081,,No detail,,,,
,,"74, Rangarao Road, ",,,,,,,,
,,"Shankar Puram,",,,,,,,,
,,Bangalore – 560004,,,,,,,,
26,101,Dharma Jagarana Vishwastha,,Yogesh Acharya –,-,,,,,
,,"Mandali, ",,"9449520924, ",, ,,,,
,,"Post Mani, ",,(O) 08255 – 274464,,No detail,,,,
,,Tq.- Bantwal - 574253,,,,,,,,
27,103,"Deena Dayal Jana Seva Trust, ",,Gopal M. –,deendayal.janasevatrust@gmail.com,,,,,
,,"Kukkuda Katte village, Bantwal",,9448623416,,  ,,,,
,,"T.Q, ",,,,No detail,,,,
,,Dakshina Kanada,,,,,,,,
,,Dist – 574231,,,,,,,,
28,104,Keshava Smrithi Samvardhana,,Raghuvir Kamath –,"info@ksssamithi.org,",,,,,
,,"Samithi, ",,"9448545609, ",http://ksssamithi.org, ,,,,
,,"Sanghaniketan, ",,(O) 0824 – 2456447,,"Hostel for NE students, ",,,,
,,"Pratap Nagar, ",,,,SHG,,,,
,,Manglore - 575003,,,,,,,,
29,106,"Seva Bharathi, Mangalore ",,Vinod Shenoy –,"chetanabharathi@rediffmail.com,",,,,,
,,"Balamaruthi Vyayama Mandala,",,"09880543918, ",www.chetanasociety.com,Lobo blind,,,,
,,"V.T. Road, Mangalore - 575001 ",,(O),0824 – 493397/,"Residential school,",,,,
,,,,,,,,78,,
,,,2496297,,,Special school for,,,,
,,,,,,mentally challenged,,,,
,,,,,,children,,,,
30,107,"Abhyudaya Bharathi Seva Trust, ",Vasanth –,,raovasanth44@yahoo.in,,,,,
,,C/o Koosappa Shettigar Manikya,"9342255364, ",,,,,,,
,,"Mahal 3rd Block, Katipalla - ",(O) 9342255364,,,No detail,,,,
,,575030,,,,,,,,
31,108,Sri Veera Vinayaka Jana Seva,Tukaram Bangera-,,-,,,,,
,,"Trust, ","9448372440, ",,,,,,,
,,"‘Akshaya’, Sultan Battery Road,","9611202901, ",,,No detail,,,,
,,"Bokka Patna, Mangalore – ",(O) 0824 – 2456122,,,,,,,
,,575003,,,,,,,,
32,110,Nachiketha Manovikas Kendra,N. Narsimha Shenoy -,,nmvktrust@gmail.com,Special,,,,
,,"Trust, ","09845370934, ",,,school for mentally,,,,
,,Special School for (Mentally,(O) 080 – 23110286,,,challenged children,,,,
,,"Challenged), 13th main road End,",,,,,,,,
,,"M.C. Layout, Vijaya Nagar,",,,,,,,,
,,Bengaluru -560040,,,,,,,,
33,111,"Seva In Action Association, ",Manjula –,,sevainaction@gmail.com,Vocational,,,,
,,"36, 1st main, S.T. Bed Layout","09535012566, ",,FCRA,training centre for,,,,
,,"Koramangala, ","(O) 080 – 25520347,",,,mentally challenged,,,,
,,Bangalore – 560034,25533876,,,"people, Samvardhana",,,,
,,,,,,"Research centre, SHG ",,,,
34,126,"Abhaya Vishwastha Mandali, ","K Dinesh,(O)",,-,,,,,
,,"‘Abhaya’, ",9447652902,,, ,,,,
,,"Sri Narayan Guru Road,",,,,No detail,,,,
,,"Talipadpu, ",,,,,,,,
,,Kasaragod Dist – 671121,,,,,,,,
35,127,Krishi Prayoga Pariwara,Arunkumar VK -,,"aruna_kpp@yahoo.com,",,,,,
,,"Krishi Nivasa, Kuru8valli","09449623275, ",,"savayavapariwara@gmail.com,",◆,,,,
,,"Thirthahalli – 577432, ",(O),08181 – 228340,www.savayavakrishipariwar.org,Organic Village,,,,
,,Shimoga Dist,,,,"project, Akshaya",,,,
,,,,,,Jeevana Project,,,,
,,,,,,,79,,,
36,128,"Keshava Seva Samithi, ",,CP Ramaswamy Iyer –,"kss.seva@gmail.com, seva@kssblr.org,",  ,,,,
,,"22/44 – Third Floor, Business",,"9845487509, ",http://keshavasevasamithi.org,SHG,,,,
,,"Vice Centre, Kamraj Road, ",,"9900288341, ",,,,,,
,,Bangalore – 560042,,(O),080 – 41426105,,,,,
37,130,Sri Kamdhenu,Nisargika,GC Swamy –,krishiparivara@gmail.com,,,,,
,,Savayava Krishi Mattu,,"9448016799,",,,,,,
,,"Grameenabhivardhi Samsthe, ",,"9986687958, ",,Education (School),,,,
,,"Shivalli, Dudda Hobli, ",,(O) 9901244221,,,,,,
,,Dist Mandya - 571405,,,,,,,,
38,131,"Vijaya Bharathi Charitable Trust, ",,M.L.Kumar -,kumaraml.ml77@gmail.com,,,,,
,,"Keragodu, ",,"9341746846, ",,,,,,
,,Mandya Tq – 571446,,Sripthe A –,,Education (School),,,,
,,,,"9901237051, ",,,,,,
,,,,(O),08232-272212,,,,,
39,133,"Sapta Swara Kala Thanda,",,K Gangadhar –,sharadanagara7@gmail.com,,,,,
,,"Sharadha Nagar, Konaje, ",,9480484516,,,,,,
,,"Mangalagangotri Post,",,,,Coaching class for 10th,,,,
,,Mangalore Taluk – 574199,,,,"std students, Balsanskar",,,,
,,,,,,"Kendra, Weekly Bhajan,",,,,
,,,,,,Help to poor patients in,,,,
,,,,,,"Hospitals, Tailoring",,,,
,,,,,,centre,,,,
40,134,Geleyara Balaga,"Kurudapadavu, ",CP Ishwar Bhat –,-,,,,,
,,"P.O. - Kurudupadavu, ",,4998206328,,,,,,
,,"Via Uppala, ",,,,No detail,,,,
,,Kasaragod - Dist - 671322,,,,,,,,
41,135,Shree Ayyappa Swamy Seva,,M. Ganesha Rao –,akshayabhat01@gmail.com,,,,,
,,"Samithi,",,"04998 – 206328, ",,,,,,
,,"KayarKatte, Paivalike, Kasaragod",,(O) 04998 – 206328,,No detail,,,,
,,Dist – 671348,,,,,,,,
42,136,Seva Bharathi Grameena,,Deepak –,deepakshettyka@ymail.com,,,,,
,,Abhivridhi,"Samithi, ","08970771948, ",,,,,,
,,"Jodukallu P.O. – Kayyar, ",,(O) 08970771948,,No detail,,,,
,,,,,,,80,,,
,,"Via – Uppala, ",,,,,,,,
,,Kasaragod Dist – 671322,,,,,,,,
43,137,Yadava Seva Pratishthana,,K.S. Nagabhushan -,"abvpbanglore@gmail.com,",,,,,
,,"Yadava Smruti, ",,"9448618595, ",rudresh64@gmail.com,,,,,
,,"55,1st Main Road,",,(O),"080-23312598,",No detail,,,,
,,"Seshadripuram, ",,26610081,,,,,,
,,Bangalore-560020,,,,,,,,
44,138,"Janaseva Trust, ",,A.S. Nirmal Kumar -,"123jsvkhighschool@gmail.com,",,,,,
,,"Channenahalli, 20km, Magadi",,"64503933,",http://janasevatrust.in,,,,,
,,"Road, Bangalore – 562130 ",,"9844454949, (O)",80,No detail,,,,
,,,,-28434230,,,,,,
45,139,Sneha Seva Trust,,Varadraj –,snehasevatrust@gmail.com,,,,,
,,"No – 65,NTY Layout, ",,"9844454949, (O)",80,◆,,,,
,,"Mysore Rd, ",,-26752831,,No detail,,,,
,,Bangalore – 560026,,,,,,,,
46,145,Sri Guruji Narendra Seva,,Lakshmana Reddy –,rudresh64@gmail.com,,,,,
,,"Pratishthana Trust, ",,9448618595,,,,,,
,,"Santrupti Coffee Works,",,,,No detail,,,,
,,"Dommasandra, Anekal Tq- ",,,,,,,,
,,Bangalore – 526125,,,,,,,,
47,146,Dr. Hedgewar Janma Shatabdhi,,U. Vittala Rao –,kss.seva@gmail.com,,,,,
,,"Seva Samithi, ",,"9845487509, ",,,,,,
,,"14/3, Jhansi Lakshmi Bai Road,",,(O),"0821-2494212,",No detail,,,,
,,Mysore - 570004,,2331414,,,,,,
48,165,"Seva Sangama Trust, ",,Keshavaraya Prabhu –,kkprabhu60@gmail.com,,,,,
,,"Chikkammana Salu Road, West",,9448263669,,,,,,
,,"Block Kundapura, ",,,,No detail,,,,
,,Dist Udipi – 576201,,,,,,,,
49,168,Ajeya,"Trust, ",Jagannatha Kasaragod,maitreyeegurukula@gmail.com,,,,,
,,"Mythreyi Gurukula, Moorukaje",,"-9480266366, ",FCRA,Maitreyee Residential,,,,
,,"Bantwal, ",,"(O) 08255 – 238053,",,Gurukul for girls,,,,
,,Tq Kodungai – Post – 574243,,265355,,,,,,
,,,,,,,81,,,
50,171,Sri Pathanjali Yoga Shikshana,,A.R.Ramaswamy -,,-,,,,
,,"Samithi, ",,"9480469618, ",,,,,,
,,"C/o . Mahadevaiah.C.V., Hotel",,9448787986,,,No detail,,,
,,"Nanjundeshwara, B.H.Road,",,,,,,,,
,,Tumkur-572101,,,,,,,,
51,172,Ashwini Grama Vikasa,,Rakesh Rai Kedanje –,,www.ashwinigramvikas.com,,,,
,,"Prathishtana, ",,"9481848897, ",,,,,,
,,"Savanoor Vill & P.O.- Puttur, Dist",,(O),08251-282493,,No detail,,,
,,– D.K.- 574202,,,,,,,,
52,173,"Kesari Mitra Vrinda Seva Trust, ",,Narayana Kumpla-,,-,,,,
,,"Vyas Nagar, Kumpala Post,",,"7795472957,",,,,,,
,,"Someswara Village, Kotekaru ",,9242212925,,,"Mathru Mandali,",,,
,,"Post, Mangalore – 575022 ",,,,,"Chatravas,Tailoring ",,,
53,174,Sarvodaya Gramina Abhivruddi,,T.R.Bheemarao –,,-,,,,
,,Sangha,,9449223317,,,,,,
,,"Nisarga Farm House, ",,,,,Self,"Help Group, ",,
,,"Tadasa Village, ",,,,,"Parisar Sahakari Sangh,",,,
,,,,,,,Balagokulam,,,
,,Agaradahalli (PO),Bhadravathi,,,,,,,
,,"Tq, ",,,,,,,,
,,Dist Shimoga – 577 227,,,,,,,,
54,175,"Vikasa Trust, ",,Nataraj Bhagwat –,,"vikasatrustsmg@gmail.com, ", Balkalyan Kendra,,,
,,"Kallalli, Near Ganapati Temple,",,"09448146175, ",,www.vikasatrust.org,for street,children,,
,,"Vinobanagar, Shimoga",-577201,(O),08182 – 270507,,Madhava Nele,,,
,,"ii) Madhu Krupa, ",,,,,,,,
,,"Panchavati colony, ",,,,,,,,
,,Shimoga – 577204,,,,,,,,
55,176,Sammilana(R),,Sh.Udaya Prabhu –,,-,,,,
,,"Padmodaya, Ist Main, ",,9448254121,,,,,,
,,"3rd Stage Vinoba Nagar, Shimoga",,,,,No detail,,,
,,-577204,,,,,,,,
56,177,"Prerana Trust (R), ",,Uday Prabhu –,,-, ,,,
,,"Padmodaya, Ist Main, ",,"9948254121, ",,,Bal Sadan for poor &,,,
,,"3rd Stage Vinoba Nagar, Shimoga",,(O) 9448254121,,,destitute,,,
,,,,,,,,82,,
,,-577204,,,,,,,,
57,178,Tarunodaya Samskruta Seva,,NR Prakash -,"saasam_smg@yahoo.co.in,",,,,,
,,"Samsthe (R), ",,"0944879012,",srinavadurga@gmail.com,,,,,
,,c/o. A.N. Vijayendra Samskritha,,(O) 08182 - 260082,,No detail,,,,
,,"Bhavana, ",,,,,,,,
,,"BB Road, ",,,,,,,,
,,Shivamogga - 577202,,,,,,,,
58,179,Sri Matru Bhoomy Grama Vikas,,Sudhakar Nooyi –,-,,,,,
,,"Trust, ",,"9448580581, ",,,,,,
,,"Village – Hosangady, ",,(O),08256 – 289455,No detail,,,,
,,"Post - Perinje, ",,,,,,,,
,,Taluka - Belthangady -574227,,,,,,,,
59,180,"Navodaya Mithra Kalavranda, ",,Damodar Nettarakere,-,,,,,
,,"Vill – P.O – Kallige, ",,"– 9964582081, ",,,,,,
,,Tq. – Bantwal– 574211,,(O) 9972370636,,No detail,,,,
60,181,Seva Bharathi Trust,,Damodar Nettarakere,-,,,,,
,,"Mani Bhawana, ",,"– 9964582081, ",, ,,,,
,,"c/o. Ajeya Kombrabail, ",,(O) 08255-232939,,No detail,,,,
,,Bantwal – 574211,,,,,,,,
61,183,"Anatha Shishu Nivasa, ",,TS Mallikarjuna –,"shishu@asn.org.in, ", ◆,,,,
,,"1A, 5th main road,",,"9972424085, ",http://www.asn.org.in,Balika Sadan for,,,,
,,"N.R. colony, Bull Temple Road,",,(O),080 – 265086419,"destitute boys & girls,",,,,
,,opp. BMS College of,"Engg.,",,,Matruchhaya &,,,,
,,Bangalore – 560019,,,,Adoption centre,,,,
62,187,Sri,Bharathi Seva Samithi,Dinesh Chandra –,-,,,,,
,,"Vidyanikethana, ",,"9448503423, ",,,,,,
,,"Sneha Nagara, ",,"9448216690, ",,No detail,,,,
,,Vill & Post Kalanja – 574212,,(O) 08257 – 271242,,,,,,
63,190,Rajashri Yuvaka Mandala,,Lokesh Bharani –,-,,,,,
,,Post - Polali Kariyangala village,,"0824 – 2266333, ",,,,,,
,,"Bantwal Tq 574219, Dist – ",,(O) 0824 – 2266333,,No detail,,,,
,,Dakshin Kannada,,,,,,,,
,,,,,,,83,,,
64,191,"Surabhi Foundation Trust, ",,,A.S. Patil –,"surabhitrust@gmail.com, ",,,,
,,"# 22, 1st Cross, Siddappa Layout,",,,"9844415458, ","info@surabhifoundation.org, ",◆◆,,,
,,"Gubbalala Village, Kanakapur",,,(O) 9844415458,www.surabhifoundation.org,No detail,,,
,,"Road, ",,,,,,,,
,,Bengaluru – 560061,,,,,,,,
65,211,Nav Chetana School of Mentally,,,Vijaya Nayak -,v.vijayanayak@gmail.com,,,,
,,"Challanged, ",,,"08065602156, ",,School for special,,,
,,"No – 3, 22nd Cross, 9th Main",,,(O),080 – 26713140,children,,,
,,"Road, Banashankari",2nd,"Stage,",,,,,,
,,Bangalore – 560070,,,,,,,,
66,275,Seva Bharathi Shikshana,,,S. Ramesh –,sevabharathi.123@gmail.com,,,,
,,"Samsthe, ",,,"9972957474, ",,,,,
,,"Court Road, ",,,(O),08226 – 222394,No detail,,,
,,Chamraja Nagar - 571313,,,,,,,,
67,363,"Seva Bharathi Karkala, ",,,Vignesh Pathak - (O),jyothi.phatak@gmail.com,,,,
,,"Tellar Road, ",,,9945855917,,,,,
,,"Karkala – 574104, ",,,,,No detail,,,
,,Distt. Udupi,,,,,,,,
68,364,Taragolli Nagarajarao Seva,,,M.S. Subbarao –,-,,,,
,,"Pratishtana, ",,,08181 – 256229,,,,,
,,"Keshava Sishu Mandira, ",,,,,No detail,,,
,,"Gopal Gowda Nagar, ",,,,,,,,
,,At & Post – ARAGA Thirthahalli –,,,,,,,,
,,577 414,,,,,,,,
69,382,Mega Rural Development,,,N. Shashikala -,"mrds2008@yahoo.com,",,,,
,,"Society, ",,,"09900870895,","dndraj1@gmail.com, ",◆,,,
,,371/29 – Behind St Joseph’s,,,"09964233223, ",www.mrdsociety.org,"SHG, ",,,
,,"Convent School, ",,,(O) 9900870895,,"computer training, ",,,
,,"Sunnakallu Street,",,,,,food processing,,,
,,Chickaballapur – 562101,,,,,"training, HIV/AIDS",,,
,,,,,,,awareness,,,
,,,,,,,programme,,,
